num,time
7,13 January 2007
8,13 January 2007
9,13 January 2007
10,13 January 2007
15,10 January 2007
17,9 January 2007
18,9 January 2007
26,3 January 2007
29,31 December 2006
30,31 December 2006
40,20 December 2006
41,20 December 2006
50,17 December 2006
56,14 December 2006
59,14 December 2006
63,14 December 2006
65,14 December 2006
68,14 December 2006
70,14 December 2006
72,14 December 2006
74,14 December 2006
75,14 December 2006
78,14 December 2006
80,14 December 2006
83,14 December 2006
84,14 December 2006
86,14 December 2006
87,14 December 2006
92,13 December 2006
95,13 December 2006
98,13 December 2006
100,12 December 2006
102,12 December 2006
105,12 December 2006
108,12 December 2006
110,12 December 2006
113,12 December 2006
115,11 December 2006
117,11 December 2006
121,11 December 2006
123,11 December 2006
125,11 December 2006
127,11 December 2006
130,11 December 2006
132,11 December 2006
135,10 December 2006
137,10 December 2006
141,10 December 2006
145,9 December 2006
151,9 December 2006
162,9 December 2006
165,9 December 2006
168,8 December 2006
170,8 December 2006
172,8 December 2006
176,7 December 2006
179,3 December 2006
193,20 November 2006
203,18 November 2006
215,18 November 2006
223,16 November 2006
240,12 November 2006
242,12 November 2006
243,12 November 2006
248,12 November 2006
249,12 November 2006
250,12 November 2006
254,11 November 2006
263,10 November 2006
264,10 November 2006
268,8 November 2006
281,7 November 2006
283,7 November 2006
289,7 November 2006
291,6 November 2006
298,6 November 2006
314,5 November 2006
315,5 November 2006
337,26 October 2006
339,26 October 2006
344,23 October 2006
352,17 October 2006
354,15 October 2006
356,14 October 2006
358,14 October 2006
362,13 October 2006
373,11 October 2006
375,11 October 2006
378,11 October 2006
380,11 October 2006
384,11 October 2006
386,10 October 2006
390,9 October 2006
392,9 October 2006
394,9 October 2006
396,9 October 2006
402,9 October 2006
404,9 October 2006
405,9 October 2006
410,8 October 2006
412,8 October 2006
414,8 October 2006
417,8 October 2006
423,8 October 2006
425,7 October 2006
432,6 October 2006
444,2 October 2006
446,2 October 2006
456,1 October 2006
483,26 September 2006
485,25 September 2006
487,24 September 2006
491,21 September 2006
492,21 September 2006
493,21 September 2006
495,19 September 2006
499,19 September 2006
504,19 September 2006
505,19 September 2006
506,19 September 2006
516,18 September 2006
517,18 September 2006
520,18 September 2006
522,18 September 2006
527,17 September 2006
533,16 September 2006
537,16 September 2006
539,15 September 2006
551,10 September 2006
552,10 September 2006
553,10 September 2006
554,10 September 2006
556,7 September 2006
558,7 September 2006
562,7 September 2006
566,7 September 2006
568,7 September 2006
569,7 September 2006
570,7 September 2006
572,7 September 2006
574,7 September 2006
575,7 September 2006
576,7 September 2006
577,7 September 2006
578,7 September 2006
581,7 September 2006
589,7 September 2006
590,7 September 2006
596,7 September 2006
597,7 September 2006
599,7 September 2006
601,7 September 2006
603,6 September 2006
606,6 September 2006
608,6 September 2006
610,6 September 2006
616,6 September 2006
617,6 September 2006
618,6 September 2006
619,6 September 2006
620,6 September 2006
623,6 September 2006
629,6 September 2006
632,6 September 2006
634,5 September 2006
636,5 September 2006
638,5 September 2006
640,5 September 2006
642,5 September 2006
644,5 September 2006
646,5 September 2006
648,5 September 2006
654,5 September 2006
656,5 September 2006
658,5 September 2006
662,5 September 2006
663,5 September 2006
666,5 September 2006
672,4 September 2006
675,4 September 2006
677,4 September 2006
683,4 September 2006
688,4 September 2006
692,4 September 2006
699,4 September 2006
708,3 September 2006
712,3 September 2006
714,3 September 2006
716,3 September 2006
721,3 September 2006
724,3 September 2006
726,3 September 2006
734,3 September 2006
741,2 September 2006
763,2 September 2006
765,2 September 2006
767,2 September 2006
769,2 September 2006
773,2 September 2006
775,2 September 2006
777,2 September 2006
782,1 September 2006
785,1 September 2006
787,1 September 2006
788,1 September 2006
790,31 August 2006
795,31 August 2006
797,31 August 2006
798,31 August 2006
801,31 August 2006
803,31 August 2006
805,31 August 2006
807,31 August 2006
810,31 August 2006
812,31 August 2006
815,31 August 2006
817,31 August 2006
819,31 August 2006
821,31 August 2006
824,31 August 2006
827,30 August 2006
828,30 August 2006
833,30 August 2006
840,29 August 2006
844,29 August 2006
849,28 August 2006
862,27 August 2006
864,27 August 2006
869,27 August 2006
871,27 August 2006
873,27 August 2006
875,27 August 2006
878,27 August 2006
880,27 August 2006
882,27 August 2006
886,27 August 2006
888,27 August 2006
890,27 August 2006
894,26 August 2006
897,26 August 2006
899,26 August 2006
912,26 August 2006
914,26 August 2006
916,26 August 2006
919,25 August 2006
921,25 August 2006
923,25 August 2006
925,24 August 2006
929,24 August 2006
932,24 August 2006
934,24 August 2006
940,17 August 2006
943,17 August 2006
944,17 August 2006
945,17 August 2006
951,17 August 2006
955,17 August 2006
957,17 August 2006
958,17 August 2006
961,17 August 2006
963,17 August 2006
970,15 August 2006
971,15 August 2006
972,15 August 2006
973,15 August 2006
974,15 August 2006
976,15 August 2006
977,14 August 2006
979,14 August 2006
980,14 August 2006
981,14 August 2006
983,14 August 2006
989,14 August 2006
991,14 August 2006
997,14 August 2006
1008,12 August 2006
